"zoc","01coin"
"atombull","3x-long-cosmos-token"
"defibull","3x-long-defi-index-token"
"dogebull","3x-long-dogecoin-token"
"drgnbull","3x-long-dragon-index-token"
"eosbull","3x-long-eos-token"
"etcbull","3x-long-ethereum-classic-token"
"ethbull","3x-long-ethereum-token"
"exchbull","3x-long-exchange-token-index-token"
"htbull","3x-long-huobi-token-token"
"kncbull","3x-long-kyber-network-token"
"leobull","3x-long-leo-token"
"ltcbull","3x-long-litecoin-token"
"mkrbull","3x-long-maker-token"
"maticbull","3x-long-matic-token"
"midbull","3x-long-midcap-index-token"
"okbbull","3x-long-okb-token"
"paxgbull","3x-long-pax-gold-token"
"privbull","3x-long-privacy-index-token"
"bullshit","3x-long-shitcoin-index-token"
"xlmbull","3x-long-stellar-token"
"sushibull","3x-long-sushi-token"
"sxpbull","3x-long-swipe-token"
"xautbull","3x-long-tether-gold-token"
"usdtbull","3x-long-tether-token"
"xtzbull","3x-long-tezos-token"
"thetabull","3x-long-theta-network-token"
"tomobull","3x-long-tomochain-token"
"trxbull","3x-long-trx-token"
"vetbull","3x-long-vechain-token"
"xrpbull","3x-long-xrp-token"
"zecbull","3x-long-zcash-token"
"altbear","3x-short-altcoin-index-token"
"balbear","3x-short-balancer-token"
"trybbear","3x-short-bilira-token"
"bchbear","3x-short-bitcoin-cash-token"
"bsvbear","3x-short-bitcoin-sv-token"
"bear","3x-short-bitcoin-token"
"bnbbear","3x-short-bnb-token"
"adabear","3x-short-cardano-token"
"linkbear","3x-short-chainlink-token"
"compbear","3x-short-compound-token-token"
"cusdtbear","3x-short-compound-usdt-token"
"defibear","3x-short-defi-index-token"
"drgnbear","3x-short-dragon-index-token"
"eosbear","3x-short-eos-token"
"etcbear","3x-short-ethereum-classic-token"
"ethbear","3x-short-ethereum-token"
"exchbear","3x-short-exchange-token-index-token"
"htbear","3x-short-huobi-token-token"
"kncbear","3x-short-kyber-network-token"
"leobear","3x-short-leo-token"
"ltcbear","3x-short-litecoin-token"
"mkrbear","3x-short-maker-token"
"midbear","3x-short-midcap-index-token"
"okbbear","3x-short-okb-token"
"paxgbear","3x-short-pax-gold-token"
"privbear","3x-short-privacy-index-token"
"bearshit","3x-short-shitcoin-index-token"
"xlmbear","3x-short-stellar-token"
"sushibear","3x-short-sushi-token"
"sxpbear","3x-short-swipe-token"
"xautbear","3x-short-tether-gold-token"
"usdtbear","3x-short-tether-token"
"xtzbear","3x-short-tezos-token"
"thetabear","3x-short-theta-network-token"
"trxbear","3x-short-trx-token"
"vetbear","3x-short-vechain-token"
"xrpbear","3x-short-xrp-token"
"realtoken-s-402-s.kostner-ave-chicago-il","402-s-kostner"
"404","404"
"realtoken-s-4061-grand-st-detroit-mi","4061-grand"
"42","42-coin"
"realtoken-s-4340-east-71-cleveland-oh","4340-east-71"
"realtoken-s-4380-beaconsfield-st-detroit-mi","4380-beaconsfield"
"realtoken-s-4680-buckingham-ave-detroit-mi","4680-buckingham"
"realtoken-s-4852-4854-w.cortez-st-chicago-il","4852-4854-w-cortez"
"4art","4artechnologies"
"4b","4bulls"
"4jnet","4jnet"
"4mw","4mw"
"kwatt","4new"
"4stc","4-stock"
"50c","50cent"
"50k","50k"
"520","520"
"realtoken-s-5601-s.wood-st-chicago-il","5601-s-wood"
"realtoken-s-581-587-jefferson-ave-rochester-ny","581-587-jefferson"
"realtoken-s-5942-audubon-rd-detroit-mi","5942-audubon"
"vgc","5g-cash"
"realtoken-s-6923-greenview-ave-detroit-mi","6923-greenview"
"69c","6ix9ine-chain"
"7e","7eleven"
"sv7","7plus-coin"
"7up","7up"
"808ta","808ta-token"
"realtoken-s-8181-bliss-st-detroit-mi","8181-bliss"
"realtoken-s-8342-schaefer-highway-detroit-mi","8342-schaefer"
"867","867"
"888","888-infinity"
"888","888tron"
"mph","88mph"
"8ball","8ball-finance"
"bitd","8bit-doge"
"eight","8ight-finance"
"8pay","8pay"
"exe","8x8-protocol"
"realtoken-s-9133-devonshire-rd-detroit-mi","9133-devonshire"
"realtoken-s-9165-kensington-ave-detroit-mi","9165-kensington"
"realtoken-s-9166-devonshire-rd-detroit-mi","9166-devonshire"
"realtoken-s-9169-boleyn-st-detroit-mi","9169-boleyn"
"realtoken-s-9309-courville-st-detroit-mi","9309-courville"
"realtoken-s-9336-patton-st-detroit-mi","9336-patton"
"realtoken-s-9465-beaconsfield-st-detroit-mi","9465-beaconsfield"
"realtoken-s-9481-wayburn-st-detroit-mi","9481-wayburn"
"realtoken-s-9717-everts-st-detroit-mi","9717-everts"
"realtoken-s-9920-bishop-st-detroit-mi","9920-bishop"
"stz","99starz"
"a4","a4-finance"
"aag","aag-ventures"
"aang","aang-inu"
"aave","aave"
"aAAVE","aave-aave"
"aAmmBptBALWETH","aave-amm-bptbalweth"
"aAmmBptWBTCWETH","aave-amm-bptwbtcweth"
"aAmmDAI","aave-amm-dai"
"aammuniaaveweth","aave-amm-uniaaveweth"
"aAmmUniBATWETH","aave-amm-unibatweth"
"aAmmUniCRVWETH","aave-amm-unicrvweth"
"aAmmUniDAIUSDC","aave-amm-unidaiusdc"
"aammunidaiweth","aave-amm-unidaiweth"
"aAmmUniLINKWETH","aave-amm-unilinkweth"
"aAmmUniMKRWETH","aave-amm-unimkrweth"
"aAmmUniRENWETH","aave-amm-unirenweth"
"aAmmUniSNXWETH","aave-amm-unisnxweth"
"aAmmUniUNIWETH","aave-amm-uniuniweth"
"aAmmUniUSDCWETH","aave-amm-uniusdcweth"
"aAmmUniWBTCUSDC","aave-amm-uniwbtcusdc"
"aammuniwbtcweth","aave-amm-uniwbtcweth"
"aAmmUniYFIWETH","aave-amm-uniyfiweth"
"aAmmUSDC","aave-amm-usdc"
"aAmmUSDT","aave-amm-usdt"
"aAmmWBTC","aave-amm-wbtc"
"aAmmWETH","aave-amm-weth"
"abal","aave-bal"
"abpt","aave-balancer-pool-token"
"abat","aave-bat"
"abat","aave-bat-v1"
"abusd","aave-busd"
"abusd","aave-busd-v1"
"aCRV","aave-crv"
"adai","aave-dai"
"adai","aave-dai-v1"
"aenj","aave-enj"
"aenj","aave-enj-v1"
"aeth","aave-eth-v1"
"ghst","aavegotchi"
"agusd","aave-gusd"
"aampl","aave-interest-bearing-ampl"
"aknc","aave-knc"
"aknc","aave-knc-v1"
"alink","aave-link"
"alink","aave-link-v1"
"amana","aave-mana"
"amana","aave-mana-v1"
"amkr","aave-mkr"
"amkr","aave-mkr-v1"
"amAAVE","aave-polygon-aave"
"amDAI","aave-polygon-dai"
"amusdc","aave-polygon-usdc"
"amUSDT","aave-polygon-usdt"
"amWBTC","aave-polygon-wbtc"
"amWETH","aave-polygon-weth"
"amWMATIC","aave-polygon-wmatic"
"arai","aave-rai"
"aren","aave-ren"
"aren","aave-ren-v1"
"asnx","aave-snx"
"asnx","aave-snx-v1"
"asusd","aave-susd"
"asusd","aave-susd-v1"
"atusd","aave-tusd"
"atusd","aave-tusd-v1"
"auni","aave-uni"
"ausdc","aave-usdc"
"ausdc","aave-usdc-v1"
"ausdt","aave-usdt"
"ausdt","aave-usdt-v1"
"awbtc","aave-wbtc"
"awbtc","aave-wbtc-v1"
"aweth","aave-weth"
"aave","aave-wormhole"
"aXSUSHI","aave-xsushi"
"aYFI","aave-yfi"
"azrx","aave-zrx"
"azrx","aave-zrx-v1"
"aab","aax-token"
"abi","abachi"
"abby","abby-inu"
"abc","abc-chain"
"at","abcc-token"
"abc","abell-coin"
"abey","abey"
"abst","abitshadow-token"
"able","able-finance"
"abs","absolute"
"abs","absorber"
"aaa","abulaba"
"abu","abura-farm"
"aca","acala"
"aca","acash-coin"
"aca","aca-token"
"accel","accel-defi"
"acx","accesslauncher"
"ace","ace-casino"
"aced","aced"
"aced","aced-2"
"ace","acent"
"act","acet-token"
"acxt","ac-exchange-token"
"act","achain"
"ack","acknoledger"
"acm","ac-milan-fan-token"
"ac","acoconut"
"acoin","acoin"
"acr","acreage-coin"
"acs","acryptos"
"acsi","acryptosi"
"acm","actinium"
"actn","action-coin"
"ACADA","activada"
"acu","acuity-token"
"acu","acu-platform"
"aac","acute-angle-cloud"
"acy","acy-finance"
"adaboy","adaboy"
"adacash","adacash"
"adat","adadex-tools"
"ADAFlect","adaflect"
"akong","adakong"
"addy","adamant"
"admc","adamant-coin"
"adm","adamant-messenger"
"demir","adana-demirspor"
"adapad","adapad"
"adp","adappter-token"
"adax","adax"
"adb","adbank"
"adx","addax"
"addict","addict-finance"
"add","add-xyz-new"
"adl","adelphoi"
"adena","adena-finance"
"ADEN","adene"
"adx","adex"
"adf","ad-flex-token"
"adi","aditus"
"admonkey","admonkey"
"ara","adora-token"
"ads","adshares"
"adt","adtoken"
"aib","advanced-internet-block"
"advar","advar-protocol"
"agld","adventure-gold"
"adinu","adventure-inu"
"twa","adventure-token"
"adco","advertise-coin"
"ags","aegis"
"agspad","aegis-launchpad"
"elf","aelf"
"aelin","aelin"
"ael","aelysir"
"ash","aeneas"
"aens","aen-smart-token"
"aeon","aeon"
"aer","aerdrop"
"aergo","aergo"
"arnx","aeron"
"aet","aerotoken"
"atyne","aerotyne"
"aer","aeryus"
"ae","aeternity"
"aeth","aetherius"
"ATH","aetherv2"
"aeur","aeur"
"avex!","aevolve-token"
"azr","aezora"
"afen","afen-blockchain"
"afin","afin-coin"
"afr","afreum"
"att","africa-trading-chain"
"afx","afrix"
"afro","afro"
"afrox","afrodex"
"afdlt","afrodex-labs-token"
"afro","afrostar"
"aftrbck","afterback"
"aftrbrn","afterburn"
"agac","aga-carbon-credit"
"acar","aga-carbon-rewards"
"again","again-project"
"edc","aga-rewards"
"agar","aga-rewards-2"
"aga","aga-token"
"agvc","agavecoin"
"agve","agave-token"
"age","agenor"
"agentshibainu","agent-shiba-inu"
"aog","ageofgods"
"gem","age-of-knights"
"a.o.t","age-of-tanks"
"ageur","ageur"
"ageur","ageur-wormhole"
"aggl","aggle-io"
"agfi","aggregatedfinance"
"agl","agile"
"agrs","agoras-currency-of-tau"
"agu","agouti"
"agpc","agpc"
"dlt","agrello"
"AGN","agricoin"
"agn","agrinoble"
"agri","agrinovuscoin"
"xagc","agrocash-x"
"farm","agrofarm"
"agro","agro-global"
"AMT","agro-matic"
"agte","agronomist"
"aht","ahatoken"
"ait","aichain"
"aico","aicon"
"aid","aidcoin"
"aidi","aidi-finance"
"aidi","aidi-inu"
"aidoc","ai-doctor"
"adk","aidos-kuneen"
"ali","ailink-token"
"aimx","aimedis-2"
"ain","ai-network"
"ainu","ainu-token"
"aion","aion"
"aioz","aioz-network"
"abl","airbloc-protocol"
"air","aircoin-2"
"airx","aircoins"
"air","airdropper"
"awt","airdrop-world"
"airi","airight"
"airt","airnft-token"
"araid","airraid-lottery-token"
"AIRSHIB","air-shiba"
"ast","airswap"
"agt","aisf"
"ai-tech","ai-tech"
"aitra","aitra"
"awo","aiwork"
"aje","ajeverse"
"akamaru","akamaru-inu"
"akt","akash-network"
"AKL","akil-coin"
"akira","akira"
"akita","akita-inu"
"akitax","akitavax"
"aklima","aklima"
"akn","akoin"
"aka","akroma"
"akro","akropolis"
"adel","akropolis-delphi"
"akro","akro-wormhole"
"ald","aladdin-dao"
"ala","aladiex"
"ala","alanyaspor-fan-token"
"atp","alaya"
"mist","alchemist"
"alcx","alchemix"
"alusd","alchemix-usd"
"alch","alchemy-dao"
"ach","alchemy-pay"
"rin","aldrin"
"aleph","aleph"
"aleph","aleph-im-wormhole"
"alph","alephium"
"azero","aleph-zero"
"ali","alethea-artificial-liquid-intelligence-token"
"alex","alex"
"sauber","alfa-romeo-racing-orlen-fan-token"
"afm","alfheim-finance"
"algb","algebra"
"gems","algogems"
"algopad","algopad"
"algop","algopainter"
"algo","algorand"
"alg","algory"
"avs","algovest"
"abbc","alibabacoin"
"alien","alien-inu"
"ashib","alien-shiba-inu"
"tlm","alien-worlds"
"tlm","alien-worlds-bsc"
"alix","alinx"
"alis","alis"
"AList","a-list-royale"
"ali","alita"
"alita","alita-network"
"alt","alitas"
"alm","alium-swap"
"alk","alkemi-network-dao-token"
"$ads","alkimi"
"aart","all-art"
"allbi","all-best-ico"
"abr","allbridge"
"acyc","all-coins-yield-capital"
"axa","alldex-alliance"
"albt","allianceblock"
"acd","alliance-cargo-direct"
"all","alliance-fan-token"
"axt","alliance-x-trading"
"alm","allium-finance"
"alv","allive"
"me","all-me"
"alh","allohash"
"xao","alloy-project"
"asafe","allsafe"
"soc","all-sports"
"alluo","alluo"
"aly","ally"
"drct","ally-direct"
"almx","almace-shards"
"alm","almond"
"aloha","aloha"
"alpa","alpaca"
"alpaca","alpaca-finance"
"ausd","alpaca-usd"
"a5t","alpha5"
"abc","alpha-brain-capital"
"acat","alphacat"
"alpha","alphacoin"
"apc","alpha-coin"
"dex","alphadex"
"roar","alpha-dex"
"alpha","alpha-finance"
"alkom","alpha-kombat"
"ank","alphalink"
"a","alpha-platform"
"aqt","alpha-quark-token"
"aROME","alpha-rome"
"alphashib","alpha-shiba-inu"
"alphr","alphr"
"afn","altafin"
"altb","altbase"
"ALT","alt-coin"
"altom","altcommunity-coin"
"alt","altcrusaders"
"aen","altera"
"alte","altered-protocol"
"am","alternatemoney"
"alt","alt-estate"
"altm","altmarkets-coin"
"alts","altswitch"
"alu","altura"
"aln","aluna"
"alvn","alvarenet"
"alya","alyattes"
"amas","amasa"
"ama","amaten"
"amt","amateras"
"amz","amazonacoin"
"amb","amber"
"wallet","ambire-wallet"
"amc","amc-fight-night"
"ame","amepay"
"uskita","american-akita"
"ushiba","american-shiba"
"amstaff","americanstaff-inu"
"adao","ameru-dao"
"amis","amis"
"amix","amix"
"amr","ammbr"
"ami","ammyi-coin"
"amc","amnext"
"amo","amo"
"amn","amon"
"amon","amond"
"veo","amoveo"
"ampl","ampleforth"
"forth","ampleforth-governance-token"
"ampl","ampleforth-wormhole"
"ample","ampleswap"
"aapx","ampnet"
"amp","amp-token"
"amp","amp-wormhole"
"dmx","amun-defi-momentum-index"
"amy","amy-finance"
"amz","amz-coin"
"anct","anchor"
"beth","anchor-beth-token"
"anw","anchor-neural-world-token"
"anc","anchor-protocol"
"anchor","anchorswap"
"aust","anchorust"
"dom","ancient-kingdom"
"ancw","ancient-warrior"
"m31","andromeda"
"androttweiler","androttweiler-token"
"deb","anduschain"
"AHT","angelheart-token"
"ANGEL","angel-inu"
"angel","angelscreed"
"angle","angle-protocol"
"anb","angryb"
"abake","angrybakery"
"$afloki","angryfloki"
"anml","animal-concerts-token"
"anim","animalia"
"stray","animal-token"
"amt","animal-tycoon"
"ani","animecoin"
"aime","animeinu"
"ani","anime-token"
"anime","anime-vault-nftx"
"anv","aniverse"
"anj","anj"
"anji","anji"
"anka","ankaragucu-fan-token"
"ankr","ankr"
"aavaxb","ankr-avalanche-reward-earning-bond"
"aethc","ankreth"
"ankr","ankr-network-wormhole"
"aethb","ankr-reward-earning-staked-eth"
"ann","annex"
"anom","anomus-coin"
"anon","anon"
"anonfloki","anonfloki"
"ainu","anon-inu"
"anons","anons-network"
"anon","anonymous-bsc"
"anortis","anortis"
"anpan","anpanswap-token"
"$anrx","anrkey-x"
"ans","ans-crypto-coin"
"ansr","answerly"
"akrep","antalyaspor"
"antex","antex"
"xamp","antiample"
"free","anti-lockdown"
"matter","antimatter"
"atmn","antimony"
"antis","antis-inu"
"antr","antra"
"ablock","any-blocknet"
"apad","anypad"
"anyp","anyprinter"
"any","anyswap"
"aok","aok"
"aos","aos"
"ape","ape"
"ApeBoys","apeboys"
"abi","apebullinu"
"apebusd","apebusd"
"ape","apecoin"
"apef","apefarmer"
"apefund","apefund"
"aft","ape-fun-token"
"apein","ape-in"
"ape","apelab"
"nft","apenft"
"ape$","ape-punk"
"aoe","apes-of-empires"
"apes","apes-token"
"banana","apeswap-finance"
"APET","apetoken"
"ape-x","ape-x"
"apex","apex-army"
"apex","apexit-finance"
"apxp","apex-protocol"
"api3","api3"
"apidai","apidai-network"
"apix","apix"
"APM","apm-coin"
"apl","apollo"
"APX","apollo-coin"
"apollo","apollo-dao"
"APOLLO","apollo-inu"
"APL","apollon-limassol"
"apx","apollox-2"
"soul","apoyield"
"appa","appa-inu"
"aaa","app-alliance-association"
"appc","appcoins"
"apx","appics"
"apple","apple"
"aplp","apple-finance"
"ank","apple-network"
"aapl","apple-protocol-token"
"apple","appleswap"
"apr","apr-coin"
"apt","apricot"
"april","april"
"apn","apron"
"apw","apwine"
"apy","apy-finance"
"apys","apyswap"
"vision","apy-vision"
"aqr","aqar-chain"
"aqua","aqua"
"aqua","aquachain"
"aqua","aquafi"
"aquagoat","aqua-goat"
"aquagoat","aquagoat-old"
"aquari","aquari"
"aqua","aquarius"
"arco","aquariuscoin"
"aqu","aquarius-fi"
"abic","arabic"
"at","arabtycoon"
"ant","aragon"
"arank","arank"
"arata","arata"
"ara","ara-token"
"araw","araw-token"
"abx","arbidex"
"adoge","arbidoge"
"AFARM","arbifarm"
"arbimatter","arbimatter"
"nyan","arbinyan"
"arf","arbirise-finance"
"arbis","arbis-finance"
"rbis","arbismart-token"
"arb","arbiter"
"arbx","arbix-finance"
"buck","arbucks"
"arbys","arbys"
"arc","arcade"
"arc","arcadenetwork"
"arcadium","arcadium"
"ARCA","arcana"
"ARCANE","arcane"
"arcaneleague","arcaneleague"
"arcane","arcane-token"
"arcanineinu","arcanineinu"
"abt","arcblock"
"arcx","arc-governance"
"archa","archangel-token"
"arch","archer-dao-governance-token"
"uco","archethic"
"actp","archetypal-network"
"arcona","arcona"
"arx","arcs"
"arc","arcticcoin"
"aurora","arctic-finance"
"dana","ardana"
"ardx","ardcoin"
"ardr","ardor"
"arena","arena-token"
"averse","arenaverse"
"ares","ares-protocol"
"arg","argentine-football-association-fan-token"
"argo","argo"
"argon","argon"
"ari10","ari10"
"ardn","ariadne"
"aria20","arianee"
"afib","aries-financial-token"
"arion","arion"
"aro","arionum"
"ari","ari-swap"
"arv","ariva"
"arix","arix"
"ark","ark"
"diko","arkadiko-protocol"
"ania","arkania-protocol"
"arke","arke"
"arker","arker-2"
"ARMD","armada"
"armor","armor"
"arnxm","armor-nxm"
"arm","armours"
"prot","armzlegends"
"art","around-network"
"arw","arowana-token"
"arpa","arpa-chain"
"arq","arqma"
"arrb","arrb-token"
"arw","arrow"
"AFC","arsenal-fan-token"
"xax","artax"
"fdnza","art-blocks-curated-fidenza-855"
"abc123","art-blocks-curated-full-set"
"aby","artbyte"
"artem","artem"
"mis","artemis"
"artr","artery"
"artex","artex"
"at","artfinity-token"
"arth","arth"
"articuno","articuno-inu"
"ai","artificial-intelligence"
"artii","artii-token"
"arti","arti-project"
"artm","artm"
"ARNO","art-nano"
"$AOW","art-of-war"
"art","artonline"
"att","artube"
"avt","artverse-token"
"anft","artwork-nft"
"artx","artx"
"ar","arweave"
"aya","aryacoin"
"ACE","ascend"
"asn","ascension"
"aat","ascensionarcade"
"ascend","ascension-protocol"
"asp","ascentpad"
"xas","asch"
